index_right,APPLICABIL,total_taxable_value,total_full_cash,total_land_value,total_acres,parcel_count,taxable_value_per_acre,NAME,intersect_acres
0.0,TOD District - Gateway,285984758.0,3718919053.0,883058252.0,2346.1195750271327,3259,121896.92334700911,Central City,1968.5488327481266
1.0,TOD District - Eastlake Garfield,207168885.0,3014333557.0,830700554.0,1015.2147863251964,3323,204064.09342194023,Central City,1220.4629785716538
2.0,TOD District - Midtown,468187974.0,7310770824.0,1939664394.0,1053.8912431171266,4552,444246.9534287296,Encanto,1283.0002167540003
3.0,TOD District - Uptown,171863623.0,3589014109.0,941461107.0,1040.7446047824938,3746,165135.25240509698,Alhambra,918.4834676330719
4.0,TOD District - Solano,91072483.0,1978353804.0,411562348.0,848.8352265668822,3414,107291.12099687837,Alhambra,1100.2654330704186
5.0,TOD District - 19North,168607085.0,3933583160.0,889474252.0,1592.4569906384052,5306,105878.58007543838,Alhambra,1127.7739572014787
6.0,50th Street Station Area,74683387.0,1238703898.0,299582587.0,754.3712939832305,270,99000.83366859952,Camelback East,595.8093800978472
7.0,Capitol Extension Area,148353832.0,1961781706.0,529476677.0,807.2630672796328,2396,183773.83781464488,Central City,1112.9543588773238
8.0,I-10 West Extension Area,468557108.0,8804659923.0,1985700149.0,5971.894343281618,14840,78460.38142438451,Maryvale,4052.8244826370487
9.0,Northwest Extension Area II,149286869.0,2508615915.0,725465775.0,1394.8532433259777,2484,107026.93614134689,North Mountain,1740.7044830514092
10.0,TOD District - South Central,134169408.0,2749898271.0,828641904.0,2435.3283042497387,5800,55092.94486737964,South Mountain,2241.28304762666
