index_right,NAME,total_taxable_value,total_full_cash,total_land_value,total_acres,parcel_count,taxable_value_per_acre
0.0,Ahwatukee Foothills,1197546332.0,19836025176.0,5383996183.0,20959.303650935886,30686,57136.74232428645
1.0,Laveen,485999912.0,10199061547.0,2939275201.0,17295.368170152975,26951,28100.00384025947
2.0,South Mountain,1115733858.0,21126265413.0,5686000048.0,22195.046699374532,42959,50269.49810524354
3.0,Estrella,1481554782.0,22245828032.0,5216087464.0,23296.375678445613,30007,63595.9345114258
4.0,Central City,2152483394.0,28411794134.0,7045697807.0,10688.098635234892,19001,201390.67456806783
5.0,Camelback East,2758933201.0,49969900709.0,13236143173.0,19529.91461040674,50855,141267.03859370027
6.0,Maryvale,1022850729.0,23539761877.0,5159133949.0,16484.034867454793,54192,62050.99280755966
7.0,Encanto,936757544.0,17657333322.0,4580407312.0,5184.146582417751,19307,180696.57736473967
8.0,Alhambra,889495772.0,19541642426.0,4451979987.0,9463.210125863721,35263,93995.14120149735
9.0,North Mountain,1303800537.0,27685926841.0,6737192258.0,18107.280536954702,51974,72004.21589200574
10.0,Paradise Valley,2487625767.0,44119507436.0,10369597947.0,22498.881381960156,66832,110566.64217069054
11.0,Deer Valley,2086663748.0,36555250964.0,9392207538.0,28276.851087744784,61152,73794.06361496744
12.0,Desert View,1335530551.0,23837500882.0,8182184368.0,27695.331288375284,27640,48222.226955651895
13.0,North Gateway,375739904.0,6998767241.0,1920628090.0,11668.1590792211,8924,32202.158150991054
14.0,Rio Vista,88402664.0,1324601552.0,359007961.0,2321.6627347284993,2342,38077.30669818328
